month	SGL	SGM	SGH	SML	SMM	SMH	SVL	SVM	SVH	MGL	MGM	MGH	MML	MMM	MMH	MVL	MVM	MVH	BGL	BGM	BGH	BML	BMM	BMH	BVL	BVM	BVH
1985m8	.05973911	.04394333	.09727494	.07817089	.05293064	.05021983	.07578647	.04423698	.06276257	.13155484	.09418749	.09605341	.05560009	.05290464	.04594564	.04174715	.04477854	.06411309	.08657152	.07844248	.0700225	.09904627	.0651189	.09101803	.07054157	.06230877	.08901071
1985m9	.0192923	.01038016	.03553619	.02733264	.03796085	.02148693	.01290676	.03084049	.02299207	-.05155808	-.05322452	-.03679436	-.026849	.01731287	.01319755	.03355498	.01336097	-.00846282	-.05581077	-.0595155	-.03460609	-.03549965	-.01436373	-.01960469	-.00679335	.00260532	.02406055
1985m10	.0352009	.03979443	.04909669	.03425097	.03532309	.06736212	.04409572	.06773542	.07362041	.09601895	.09899637	.06416332	.02828365	.12199803	.10621406	.03592243	.13971419	.09520042	.10762461	.05570832	.08526252	.06567179	.10349805	.09565784	.06863741	.11194017	.10254598
1985m11	-.0059382	.01059059	.01338425	.01010454	.03065589	.04726495	.07784748	.02828327	.04612345	.08100531	.02175359	.01970805	-.00532264	.00805654	.05903341	-.00729042	.01149197	.03120937	.07187422	.03422988	.02173952	.05919329	.06842475	.03148088	.0198685	.02202015	.01941326
1985m12	.03863568	-.00923207	-.01262925	.02735321	-.00629644	-.00618581	.07146706	-.01007289	-.01748956	-.02176143	-.02665998	-.01327193	-.00398847	-.00781969	-.01741832	-.04377945	-.01073642	-.01089534	-.01327646	-.03779063	-.03000291	.00477995	-.03325764	-.03376731	-.00130503	-.00747419	-.01012788
1986m1	.02370796	.01881639	.02478869	.05877332	.04379307	.04282273	.03953008	.03939062	.06239743	.05482024	.00786267	.03245602	.04048438	.04296697	.0308023	.02425812	.08963555	.09329314	.01518361	-.01140575	-.01631166	.03847289	-.00558957	.03444111	.0122435	.02922662	.08118189
1986m2	.07181207	.08725504	.08151363	.08631763	.07461896	.07893836	.09052996	.08097266	.11640229	.12007801	.11310963	.07491265	.06316399	.12492285	.06165239	.00850718	.05546986	.09426729	.08731112	.08485552	.04534818	.09600041	.09004732	.09920485	.13180438	.08929407	.11650489
1986m3	.00302897	.01516558	.05263575	.01774383	.04470214	.08100778	.02428184	.03584198	.0788287	.03899264	.06418401	.13779824	.02451857	.06299017	.12893861	.01072559	.11276023	.07422437	.02452715	.0472465	.09751951	.0731619	.1025662	.12726453	.04430675	.05343135	.09243506
1986m4	.06520089	.06850666	.08142858	.085947	.03955561	.06230516	.05914264	.05369148	.06726279	.05028078	.03715501	.05955669	.09427798	.06130835	.09180753	.03620455	.16711641	.03806069	.01326358	.01322058	-.02379739	.05614539	-.02611678	.01217985	.03179637	.01358765	.04011694
1986m5	.01774345	.00969249	-.01075604	.07716214	-.00382338	.0298892	.0042587	.0233686	.00385979	-.0385786	-.01178408	-.00806825	-.03834583	-.03764037	-.05047694	.03110504	-.00732644	-.03674944	-.05264925	-.0297909	-.00230676	-.05406999	-.0215855	-.0157012	-.01584915	-.00725438	-.01938958
1986m6	.01770893	.03671087	.02458299	.02971336	.05976709	.04489817	.03855774	.09741857	.07223617	-.01315338	.02839938	.06308382	.03344734	.05962187	.07042009	.01741504	.02640162	.06236794	.01495626	.01768895	.01492436	.03800574	.03646317	.04892567	.01095842	.04156377	.05655362
1986m7	-.01788528	-.00646069	-.06679127	-.00372643	-.00372891	-.00466208	.01875877	-.020912	-.01469043	-.04725556	-.06046897	-.03964821	-.05385097	-.02305296	-.05260428	.00461882	-.03841508	-.04217424	-.03516482	-.04337957	-.04823879	-.07318959	-.05482296	-.06489162	-.05275718	-.06854983	-.06499287
1986m8	.01704937	.01934139	.02151134	.00474916	.00402142	.02006004	.03033774	.04968423	.0123427	.03978539	.02645084	.00499201	.0265936	.01404173	.04053162	.0770469	.01758129	.01681739	.04996924	.07904669	.1247836	.06890091	.02305327	.04827657	.01942745	.07015306	.01485046
1986m9	-.00091008	.00047044	-.03066279	-.00831662	-.0037374	-.01671725	-.01532023	.00080075	-.02447134	-.08026159	-.02838626	-.01840326	-.05636708	-.0311523	-.03525345	-.0349643	-.03609347	-.05497358	-.04289516	-.07713989	-.06981103	-.07084233	-.04280579	-.06549146	-.04982578	-.035356	-.01608202
1986m10	.04698146	.0520455	.04986375	.0364731	.06165016	.06712827	.08968328	.06012407	.05103509	-.00763726	.02585921	.05612819	.03509051	.05174693	.0630732	.05365617	.06420021	.04313717	.01224658	.02163951	.00226315	.0565366	.07327021	.04675152	.11196483	.06675189	.06797772
1986m11	.04093755	.04199046	.03040095	.07085042	.0234327	.04565237	.08483642	.04446252	.06859693	.04811064	.00731853	.01352719	.03254886	.03773839	.01688175	.02515832	.06819741	.0476669	.04476361	.00437207	-.00566596	.04105907	.03144692	.04670708	.02745259	.0375419	.05070454
1986m12	.01596824	.00691614	.01118792	.04851808	.0434608	.04431016	.06280101	.06404546	.04427376	.03041667	.04030326	.00971479	.01355716	.00076186	.02636459	.01499926	.00342968	.02405965	.0030135	.00604109	.01139538	-.00395511	.01478281	.01350779	.05046672	.00364899	.02842139
1987m1	.08913939	.09510788	.08347201	.07757486	.1034112	.10335225	.12382964	.07459881	.08129307	.07361597	.09672709	.10147187	.08947214	.06018744	.14525633	.07704942	.05753121	.10045947	.07286766	.09529829	.08815399	.10784122	.09651262	.10616213	.0806333	.07940072	.15837866
1987m2	.08718388	.10115737	.12223585	.11879882	.12533113	.14726516	.11667842	.09172894	.10461852	.08412927	.10333039	.10162184	.09335719	.06422313	.07439213	.07970784	.0323429	.1192901	.09726947	.10109483	.11268152	.10807738	.11655192	.07849567	.05027229	.0988056	.0890502
1987m3	.10026664	.08848544	.09419984	.10007344	.0683022	.10501675	.1482293	.09622714	.07678726	.10115446	.07211639	.07232392	.06432287	.02712305	.01359083	.05212948	.09772943	.02905537	.00430439	-.01183242	.02513277	-.00607704	-.00370306	.04685549	.152962	.04004541	-.00561225
1987m4	.0444295	.03187794	.04766401	.04825526	.04223926	.05894489	.04144311	.06562403	.05297499	.0220439	.04805772	.05185588	.0338512	.01503581	.02987191	.05211212	.04321994	.03360659	.02585277	.01706154	-.00510618	.01672065	.03305494	.01747388	.04647294	.05881646	.03149111
1987m5	.13416909	.09833597	.10240774	.10385508	.10344305	.12483962	.15565511	.08039083	.08994234	.09245958	.0934521	.07901207	.05178427	.07275509	.04887305	.0930695	.07330944	.06452041	.06807755	.08606339	.06246675	.05362913	.07050296	.05815752	.0854778	.07613985	.04632584
1987m6	.12533374	.1439657	.17489537	.2916521	.19033698	.16517023	.14955512	.14262504	.15509029	.05062035	.07096513	.10896437	.06267402	.08978184	.1129261	.10826575	.09355443	.09499122	.03579187	.06689872	.03605333	.0575654	.06447926	.06314697	.12911725	.06103021	.07982818
1987m7	.17067384	.13183734	.13370474	.18017824	.14505871	.1867652	.29259239	.22616602	.25195265	.06520315	.02455508	.06905519	.12919492	.08167399	.06322788	.07032731	.04605312	.10823939	.04481838	.05701686	.05294269	.06954842	.0281666	.04062805	.08777552	.03157942	.08957477
1987m8	-.03806412	-.03863715	-.0143558	-.0392206	-.0075971	-.02495059	-.04769434	-.02808302	-.02389983	-.04114038	-.06019	-.04818273	-.05104208	-.03007984	-.02861539	-.03912524	-.03295612	-.05303607	-.04563726	-.03851301	-.04801601	-.06140607	-.02346312	-.02787993	-.05570556	-.06635917	-.05788134
1987m9	.06771907	.0454396	.05431029	.04494474	.05417379	.05155749	.04505351	.03755402	.07543664	.03320761	.05751038	.04453772	.05808885	.07271768	.05783849	.06620302	.03193719	.05486402	.04540024	.05749101	.03452863	.04309656	.05803999	.05067985	.0693046	.06807331	.06821993
1987m10	-.23542765	-.22475593	-.27798542	-.18447115	-.20049224	-.23769877	-.12274616	-.16378488	-.17783665	-.26089722	-.29572701	-.29867348	-.25676448	-.26273821	-.29871068	-.2310323	-.24455993	-.26634173	-.29457849	-.2770248	-.380966	-.26440999	-.26746492	-.32046501	-.22935327	-.23697606	-.28856533
1987m11	-.17961335	-.19000211	-.22338961	-.14827972	-.17488405	-.17204176	-.130039	-.12254207	-.14639182	-.15127022	-.16915539	-.21600277	-.10973986	-.12991305	-.12010148	-.08743336	-.10734507	-.10650532	-.09529839	-.08093752	-.11340442	-.10397613	-.10716186	-.07716228	-.11390097	-.11915038	-.07260151
1987m12	.03569145	.04994863	.03173051	.01471129	.09276187	.03891496	.02825186	.04357185	.02349844	.13677444	.12874437	.11350545	.10634888	.10662936	.16236541	.15363832	.11682882	.16108883	.13984558	.09839359	.14572838	.12469005	.1436843	.11958866	.11549173	.16432167	.21136304
1988m1	.05889176	.07438057	.07071299	.04441545	.06507309	.0809941	.07158338	.07651304	.08704795	.06628134	.08974345	.1579684	.04803081	.06912479	.08246191	.05637608	.07502066	.08964897	.04590134	.0586968	.06993279	.036024	.03689109	.06856814	.05667064	.06770524	.05689004
1988m2	.00248834	.01637008	-.01462596	-.00404172	.01080357	.01397782	.04392912	.01978904	.01137897	-.00948455	.00750233	-.00794971	.0165641	.00540515	-.01285022	-.00077629	.00096011	-.01321691	-.00371575	-.012001	-.00474433	-.01101879	-.00926933	-.00281708	.01387365	-.00435903	.00177359
1988m3	.00847499	-.02288469	-.03576634	.00234328	.00653398	.00967529	.00158103	.01763601	-.00056732	-.00212654	.0062046	-.00303581	.05327535	-.02114737	-.01271781	.00684052	.03275263	.02166228	-.03685644	-.01429182	.01017407	-.01495092	-.02725502	-.00916113	-.00202479	-.00033503	.04471856
1988m4	.05358219	.04472557	.03567618	.04564368	.03570182	.03179368	.04430492	.04669724	.0473063	.01787406	.02602486	.05815352	.02116144	.01433992	.07863498	.02246071	.0641616	.06376222	.03459253	.05927368	.04111443	.09295357	.05461694	.078873	.06106071	.05596235	.03172161
1988m5	.01872698	.02100003	.01741446	.03581499	.04076049	.02206577	.05591322	.02444905	.03485417	-.00471687	.00483552	.04318496	.00875818	.01112815	.00845361	.01737039	.02900783	.00730805	-.00524202	-.01924866	.02795182	-.01788928	.00451637	.00315336	-.00578133	.00321627	.01817792
