date,rm,rf,rmrf,smb,hml,umd
14sep1989,-.0069061,.0004933,-.00739938,.00660166,.00237864,.0004899
15sep1989,-.0057973,.0004943,-.00629161,.00156691,.00205532,-.00418491
18sep1989,.0053363,.0004933,.00484303,-.0018579,.00134158,.00317808
19sep1989,-.0040708,.0004933,-.00456404,.00349728,.00276449,.00044163
20sep1989,.002952,.0004933,.00245875,-.00370622,-.00067668,-.00077027
21sep1989,.003809,.0004939,.00331507,-.00574911,.00132156,.00178575
22sep1989,-.0033435,.0004943,-.00383774,.00421227,-.00057372,-.0016979
25sep1989,-.0038339,.0004939,-.00432786,.00334219,.00272836,.00254206
26sep1989,-.0093811,.000495,-.0098761,.00377732,.00015566,.00281444
27sep1989,-.0024956,.0004973,-.00299297,-.00160783,.00074741,.00039702
28sep1989,-.0143757,.000499,-.01487476,.00848095,.00028043,-.00184256
29sep1989,.0026482,.0005115,.00213665,-.00542646,-.00055947,-.00114622
02oct1989,-.0031612,.0005017,-.0036629,-.00101962,.00103619,.00064587
03oct1989,.0104746,.0005031,.00997151,-.0071266,-.00309015,-.0002818
04oct1989,-.0024998,.0005037,-.00300354,.00288869,-.00298607,-.00017087
05oct1989,-.0136471,.0005179,-.01416503,.00058217,-.00334988,.00241475
06oct1989,-.0032588,.000527,-.00378574,-.00900427,-.00460192,.00821982
09oct1989,-.0143799,.0005273,-.01490722,-.00051256,-.00177891,.00960392
10oct1989,-.013901,.0005293,-.01443031,-.00234701,.0016538,.00567864
11oct1989,-.0019813,.0005293,-.00251059,-.00957472,-.00226879,-.00284525
12oct1989,.0075409,.000532,.00700892,-.00676085,.00322535,-.00583124
13oct1989,-.0021971,.0005343,-.00273149,-.00405812,-.00813951,-.00001316
16oct1989,-.0396357,.0005243,-.04016003,-.03328332,.00649614,.00367978
17oct1989,-.006775,.000528,-.00730302,.02987168,-.00201992,.00411378
18oct1989,.0165319,.0005276,.01600424,-.0023785,.00032226,-.00746078
19oct1989,.0099629,.000528,.00943496,.00076634,-.00382979,-.01121288
20oct1989,-.0022921,.0005283,-.00282039,.00860731,-.00421238,.00015556
23oct1989,.0042893,.000529,.00376037,-.00250093,-.00395352,-.0018392
