month	SL	S2	S3	S4	SH	S2L	S22	S23	S24	S2H	M3L	M32	M33	M34	M3H	B4L	B42	B43	B44	B4H	BL	B2	B3	B4	BH
1993m2	.05435029	.0368183	.03266389	.03353121	.02881589	.03648291	.04198192	.02195699	.01207739	.02237791	.03084531	.01017713	.02551115	.05296229	.01629252	.02482363	.01041456	.04268239	.03348964	.02325488	.0602409	.0210096	.00429492	.01550375	.00872383
1993m3	.06187239	.02908536	.03642112	.01508719	.02738192	-.0132656	.02765237	.0404248	.0181899	.03731932	.02685962	.05864596	.05442158	.04717031	.03577884	.06557087	-.00986812	.03795068	.01974252	.01691964	.04621089	.0180591	.01443869	-.01745205	-.00284917
1993m4	.06356896	.0318597	.02182134	.02121464	.03313572	.06931996	.06551675	.02660325	.04147958	.02020869	.02013537	.03126288	.01625399	-.0108046	-.00096264	.06051475	.04562283	.01591507	-.02417857	.03262004	-.04511583	-.01909611	-.00519724	-.03321839	-.02670186
1993m5	.06664161	.02704829	.03367206	.01706052	.03161549	-.01952538	.02301821	-.03225466	.03998586	.01220279	.04712697	.01173094	.00509305	-.00849202	.01388804	.04046273	.00744089	-.01748583	-.00901103	-.01112494	.0382156	.00550976	-.00306639	-.01387459	.04426143
1993m6	.01389186	.01960903	.01749998	.04661068	.01270482	-.00273733	.0231417	.00937841	.00952926	.03506378	.02868187	.01081313	.01716241	.05643999	.0283394	.01281655	.00471167	.02302243	.01193218	.00867561	.02243024	.01771098	.00878951	.00899581	.00794882
1993m7	.0081954	.00912177	-.00059319	.00658892	-.00715104	-.01753039	.00816351	.03492748	-.01497402	.00169538	.01276645	.01444899	-.0051361	.03188579	-.01000476	.05535952	.05245051	.04879587	.02507463	.04414314	.00049595	.03955613	.00602694	.00196113	.04787939
1993m8	.109127	.09861946	.06928408	.08656945	.07677475	.1141789	.06579587	.07895808	.07928598	.06132615	.09146441	.05624614	.06870997	.04248613	.05006665	.04811908	.07550124	.05798231	.07663815	.08010362	.0527898	.08577882	.06688156	.07314294	.06967725
1993m9	.00503744	.011724	-.00532105	-.00578977	.00368109	.00690971	-.01984855	.00259288	-.02577735	-.01493445	-.01408257	-.05259421	-.01493296	-.02761323	-.01574687	-.01265852	-.01007896	-.00198404	-.03269639	-.05502931	.00546628	-.01496245	-.02541889	-.0674287	-.00175757
1993m10	.01197046	-.00004109	.00144253	.0378386	.04868968	.00095784	.01045833	.01839863	.01124722	.01798922	-.00260209	.02134069	.03815374	.0388747	.02349017	.00520017	.04018061	.04067644	.02746673	.01333297	.04029581	.035654	.06795797	.03709627	.04944794
1993m11	-.03765785	-.01760671	-.01385137	-.01129314	-.01472481	-.03935265	-.05176304	-.01404521	-.0239899	-.02943946	-.06668263	.00311184	-.03111235	-.01774877	-.00246315	-.02057066	-.00487185	-.00128402	.00603436	-.0061159	.01619526	.01053937	.00190278	-.02326773	.00888
1993m12	.04515498	.0570983	.059295	.06257847	.06362551	.06639697	.03083657	.09516111	.04704563	.05939729	.03468726	.03951786	.06947077	.0555076	.09797079	.08028253	.09178793	.12354195	.10058798	.07957237	.05473739	.08055811	.10015059	.07424372	.05707962
1994m1	.11740948	.11633466	.1121919	.11668997	.11277756	.13668096	.10802831	.11265429	.09853399	.13036254	.10691394	.1292818	.10405569	.11147356	.11858854	.03474633	.07571662	.05541925	.09858721	.09195322	.01076243	.03313659	.02202005	.04552934	.05803211
1994m2	.01701716	.01826861	.02490386	.00392407	-.00106711	.00067491	-.00733534	-.00448348	.00931402	-.0022787	-.02229032	-.00556894	-.03217894	-.01021365	-.00407846	-.02498768	-.04670856	-.03967272	-.03280112	-.04131584	-.02532571	-.06960834	-.04027824	-.02918669	-.02396037
1994m3	-.04800975	-.05320411	-.06468711	-.05520044	-.06493395	-.09903315	-.07697427	-.0641729	-.07122357	-.0482325	-.0845702	-.04080529	-.04759397	-.07048395	-.07930644	-.01207311	-.02422604	-.03632376	-.03731944	-.08020302	-.06301248	-.057265	-.05228792	-.04359758	-.05445059
1994m4	.01469738	.00805822	.01917235	.04529034	.02830664	.02099591	.03154198	.01256853	.01703563	.00333225	.02360493	.01252312	.02085418	.00751693	.01009286	.02507599	-.00482183	.00400948	.01819924	.01559255	.02870407	-.02206299	.02444625	.04719561	.0289752
1994m5	-.01596128	-.01048934	-.02239663	-.0112357	-.02845329	-.02149116	-.03170498	-.05458254	-.04795651	-.04865105	-.01994617	-.0106457	-.03106558	-.07626904	-.05546092	-.05716373	-.03364539	-.05610051	-.0739015	-.06636605	-.05930098	-.04516492	-.04350509	-.03128278	-.07068951
1994m6	-.04879982	-.0296107	-.05827764	-.03904027	-.04342658	-.03585997	-.04207425	-.0625286	-.07184337	-.04215749	-.04326659	-.0576846	-.04226528	-.02668716	-.0565454	.01356418	-.02000943	-.00718321	-.05125267	-.01229469	-.00623135	-.00530988	-.04656859	-.0104929	-.03031633
1994m7	.01940608	.01888122	.01651942	.03115152	.02936741	.03112851	.03018761	.01966566	.03528194	.04196821	.039005	.07647793	.04145648	.06160181	.06340366	.06376054	.09285632	.09237256	.0790403	.05936281	.05716615	.06009763	.0676975	.05477303	.0720165
1994m8	.0490364	.05330479	.02858165	.02923221	.02775368	.07823897	.03711035	.01639891	.02879011	.03134298	.03153565	.03776589	.01160606	.00022676	.0222437	.06271525	.09483649	.07312357	.06018735	.05242813	.07413394	.05698293	.07691736	.05047947	.03599678
1994m9	-.02092376	-.03129486	-.01685066	-.04410403	-.04211678	-.07110787	-.0423279	-.05410814	-.02789639	-.06946689	-.06568146	-.05663797	-.0471024	-.07468008	-.09062571	-.103198	-.07419999	-.08189671	-.08195173	-.0990103	-.0703862	-.06103212	-.08323079	-.0822381	-.05138955
1994m10	-.00787497	-.02121171	-.02693277	-.01354079	-.01585153	-.03684454	-.00082271	.01741862	-.00894505	-.06038446	-.00247747	.02844607	-.00818078	-.01209501	.00586827	-.00053962	.01767561	.02969029	.01651114	.0102144	.01176596	.01059861	.02784137	.02562285	.04418881
1994m11	-.01136534	-.01082084	-.01309588	-.0140739	-.00215976	-.01577065	.00360629	-.00445923	.01558617	-.00015603	-.02198281	.00424669	.00074147	-.00025432	.00542587	.01985404	-.00712939	.01091774	-.01345597	.0112431	.01186839	-.03019646	.01800722	.0024025	-.01171769
1994m12	-.01774443	-.00013675	.00052681	-.01218299	-.00201511	.00361412	-.00717818	-.00554578	-.01956739	-.01447101	-.03910674	-.0036601	-.02535615	-.00725745	.01894001	-.01081275	.01526687	.02052363	.01448739	.03534939	.01347366	.0018928	.02346556	-.00658124	-.0183137
1995m1	-.00378162	-.00754561	-.01337416	-.02291009	-.01175455	-.04769411	-.02314774	-.03827551	-.03093656	-.00387001	-.03193409	-.01884045	-.03620755	-.05274138	.01411127	-.01463529	-.01578892	-.0329644	-.04400923	-.03201235	.02755016	-.03257611	-.02206033	-.03895843	-.04281369
1995m2	.00550928	-.01873042	-.03411038	-.00816836	-.00559272	-.02821565	-.05614296	-.04763098	-.00019736	.01077992	.02753267	.02903528	-.01685101	-.03233827	-.00508038	-.0001071	.00899326	.00219714	.01651082	-.00973957	-.0208233	.02419216	.01579272	.00003738	-.01508305
1995m3	-.00821997	.0003316	-.0098945	.00014631	.01195111	.03910088	.05735318	.03763375	.04218085	.03051493	.04477749	.08206102	.03851939	.07390707	.04059984	.05350023	.04826887	.01687222	-.00336689	-.01603347	.03317484	.05141448	.05409606	.04801828	.05086769
1995m4	.0381631	.03271567	.02721359	.03544394	.03110079	.04747118	.01823307	.02465305	.03230092	.03680351	.02392068	.04419428	-.00207545	.04215343	.017172	.05359582	-.01707458	.03609227	.05177212	.03405472	.02592344	.01105561	.02836158	.03002665	.03816454
1995m5	.06888702	.05302417	.06371469	.03329894	.05603811	.05789211	.05076215	.05687267	.04912376	.05016742	.05375941	.02694108	.00435081	.02158941	.03417698	.00510039	.15890073	.04905117	.05503314	.04883135	.0332634	.03881595	.03545427	.02744485	.01885111
1995m6	-.01071605	.00710465	.003666	-.01718986	-.0053846	-.00610449	-.03521981	-.02650793	.02309785	-.01319775	-.00805342	-.00276227	-.00369353	-.02772674	-.01392244	-.0314707	-.0170789	-.00726209	-.00544707	.01799617	-.02160737	.0008042	.02363962	.01486126	-.00021286
1995m7	.04717588	.02881344	.04009495	.03786117	.04555592	.05382108	.05878278	.03755401	.07787602	.04883138	.05084388	.04455355	.06003571	.06779979	.05993406	.05896789	.05749778	.08556051	.10638507	.09159625	.0312285	.0289789	.03104506	.07740007	.08148675
1995m8	.04826547	.00878503	.04791677	.02911247	.03991289	.04729127	-.00699467	.03608214	.0299909	.03257595	.01026271	.00099008	.02065275	.02067991	.00697871	.03358577	.02417431	.01524196	.03795657	.00733629	.00610246	-.00116946	.02590779	.01882837	.00552822
1995m9	.00162007	-.01302303	.00132646	.02220953	.00765357	.01555164	-.0183916	.03750345	.00837342	.02448827	.04220879	.0283129	-.00959635	-.01286468	.01060987	-.05832718	-.02019566	-.00630953	.03456269	.01398066	-.02736185	.01942571	.00212366	.01202559	.00143309
1995m10	-.03369145	-.00011599	-.01332546	.01250871	.00775264	-.04189377	-.00655282	-.00636462	-.00970881	.01258478	-.02028307	-.03448337	.04223678	-.00987209	.01940046	-.03120309	-.03977985	-.00805049	-.01092636	.00712387	.00127691	-.02273049	-.01822862	-.00685368	.03055703
