month	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
1994m12	.01602498	.00408638	-.01083092	-.00115391	-.00541831	-.00769118	-.00506858	-.00596967	-.00595498	.00469367
1995m1	-.0238309	-.00952521	.00300706	-.00560499	-.00963613	-.0054856	-.01391567	-.02199975	-.0235864	-.02774535
1995m2	-.044901	-.05357634	-.02758459	-.01523481	-.00597133	-.01211137	.00055043	-.0137685	-.00337297	.00719626
1995m3	.00719096	.00948305	-.01581451	.0032147	-.00822842	.00694447	.00731589	.03389305	.05200717	.025974
1995m4	.01410672	.02896184	.04294974	.00351559	.02574474	.02920135	.03976738	.0338289	.02741699	.02922799
1995m5	.06030406	.06825361	.05262193	.05558079	.05473545	.05765024	.05215423	.0552798	.03354167	.0497001
1995m6	-.00270752	-.00853743	.00080447	-.00940152	-.01036583	.00772838	-.01419792	-.00990083	-.01415008	-.00647438
1995m7	.05957285	.04433243	.02097279	.01824674	.03371144	.04613879	.0425844	.05635458	.07054831	.06847845
1995m8	.02269625	.02624406	.0491735	.03034179	.06543352	.03350439	.03700288	.02339832	.01498878	.01602759
1995m9	.01787862	.01000166	-.01002104	.00678723	.01895444	.00623143	.00205505	.01706375	.00373482	.00094439
1995m10	-.01255438	.00402742	-.00956576	-.00713017	-.00951602	.0126961	-.0051409	-.01686591	-.00573292	-.01150776
1995m11	.00877389	.0465074	.02299384	.01018291	.03602831	.01698009	-.00015109	.00018421	.0155319	.02036881
1995m12	.01517401	.00130536	.0153766	-.00074024	.01079974	.00290503	.01706085	-.0010945	.02022437	.01759174
1996m1	-.00503145	.02028191	.02564549	.01733309	.02603304	.03182477	.03068925	.04018647	.03271067	.02295868
1996m2	.02387818	.0287067	.02768073	.00603723	.01884427	.01812445	.03180194	.02536106	.01970171	.01397656
1996m3	.04720547	.0277521	.00522246	.03767786	.02725284	.04005791	.02378864	.0271508	.03310613	.02107722
1996m4	.06265169	.09980725	.07335163	.07161528	.06453586	.08285596	.07651084	.08050096	.06651864	.04588174
1996m5	.05948647	.04107599	.03232365	.02968688	.02347483	.0157389	.01116439	-.02093032	-.01154602	-.01444331
1996m6	-.02344642	-.0056399	-.02023384	-.01401487	-.02338722	-.01450681	-.01017536	-.01158797	-.01979429	-.01654297
1996m7	-.00094519	-.0061014	-.00040721	-.02903428	-.04627551	-.03790929	-.04995494	-.04473545	-.02991217	-.01292298
1996m8	.02756097	.02204527	.02134183	.02444418	.01933017	.02997704	.03468227	.0444002	.04053527	.04566749
1996m9	.01499022	.04089081	.01179639	.01692122	.00876481	.0090344	.00370829	-.00673352	.01163479	.00543717
1996m10	.03007832	-.01652587	.00535034	-.01472007	-.01472756	-.00040243	.00672929	.02263527	.0163485	.00184647
1996m11	.01149261	-.00135116	-.01120761	-.02066559	-.00294308	.01380493	.00567291	-.01241292	-.00012968	.01049455
1996m12	.015938	.02722133	-.0078916	.00151642	.01523585	.00144695	.0117198	.02094535	.00941813	.0205517
1997m1	.0617712	.06044288	.06545891	.06233634	.08127931	.05315812	.06456095	.04000638	.04169856	.00549434
1997m2	.04255507	.03535962	.03963053	.04657412	.01093447	.02808006	.01361651	.01979735	.00556007	.00489006
1997m3	.05027989	-.02434029	-.00591342	-.03899313	-.02407497	-.02529847	-.00611183	-.00327079	.00228574	-.00212661
1997m4	.04177309	.03661694	.00518362	.00235243	-.00338572	-.00776576	-.00516953	.00332075	-.01114447	-.00571602
1997m5	.00923393	-.00731255	-.02534232	-.01436832	-.01047281	-.01833523	-.01013208	-.01135625	-.00432151	.02396039
1997m6	.0207759	.00719096	-.01114938	-.02531421	-.02753851	-.03182556	-.0384095	-.02533581	-.01246656	-.00255075
1997m7	.0072932	-.00775275	-.00732046	-.01991932	.00108775	-.01495474	-.02632376	-.015003	-.00400316	.04469406
1997m8	.03974971	.01582934	.02651087	.01970387	.02275023	.04441595	.03985197	.06204724	.03806859	.01171564
1997m9	.03439892	.02499694	.01974781	.02732552	.05318201	.03756655	.05229131	.03905121	.05556966	.06002266
1997m10	.04319101	-.02352536	.00500728	.00883989	.02182532	.0199187	.01799683	-.01036533	-.04041668	-.04186458
1997m11	-.01212496	-.00912378	.00694479	-.02681369	-.01791779	-.01998352	-.01393417	-.02095142	-.00868263	.00624939
1997m12	.03976056	.01120749	.01762173	.00534233	.02278981	.02288015	.01107225	.01275285	.01684674	.02848005
1998m1	.01103531	.02699767	.0172284	.02423434	.02455844	.02837448	.01130501	.02297419	-.01062951	.01919686
1998m2	.07037549	.04580816	.05692531	.05452843	.04948228	.04601308	.04261746	.03287487	.07082223	.06557432
1998m3	.02815097	.05835209	.05852803	.05943546	.04546739	.06652745	.06736363	.07480905	.05699486	.06015165
1998m4	.01733052	-.00620534	.02011702	.02210624	.03753195	-.0001679	.00739132	.00571546	.02540069	.01621118
1998m5	.04672946	.08594321	.09690205	.06692502	.06226982	.06544022	.05458753	.04443132	.04098459	.01725346
1998m6	-.01391969	-.02636695	-.03521843	-.05821173	-.04310948	-.04862387	-.06670991	-.04327709	-.07842373	-.04584104
1998m7	-.00003824	-.06085013	-.05695717	-.0787901	-.07916858	-.07596809	-.07034131	-.05647772	-.03787278	-.02357395
1998m8	-.03527652	-.0788928	-.08827232	-.10088669	-.11268447	-.10022683	-.12244643	-.13734576	-.15497457	-.10873379
1998m9	-.04321777	-.05587745	-.03584748	-.06358833	-.08856498	-.03658197	-.05125907	-.09414566	-.06934422	-.03497305
1998m10	-.02267211	.00293089	-.04589044	-.02081352	.02311648	-.00899023	.00131881	.0196975	.0789623	.05477337
1998m11	.02821077	.02345688	.00031134	.02393911	-.02246909	.02686401	.05558987	.02388693	.0163051	.03453365
1998m12	.027408	.00237497	-.00123821	-.00534467	.01900052	.00565723	.0277603	.00582567	-.02193901	.00112047
1999m1	.02380611	.08475072	.03611384	.05644755	.06242185	.02691988	.04421409	.02882478	.0332873	.02356321
1999m2	.00700452	.0257361	.03358796	.0659756	.07635261	.10248127	.07731621	.07931562	.07058723	.03846401
1999m3	.02651448	.04636711	.07804292	.06401153	.06495082	.04831087	.0414878	.07873052	.06039112	.01920077
1999m4	.09005583	.11963235	.09443642	.09162834	.08811926	.08499078	.05842108	.08530427	.09157781	.05634972
1999m5	.01436392	.02981445	.00047846	-.0112471	-.00073311	.01185935	-.00590649	-.01676623	-.01034001	-.03049745
1999m6	.05493664	.04978653	.05549056	.05155579	.04594219	.04189513	.02893177	.04046826	.05078218	.03110526
1999m7	.08542248	.03934629	.03178665	.05030574	.02603124	.02008427	.05266414	.04019781	.02763378	.0051853
1999m8	.07650448	.07517954	.0386368	.05153975	.05060972	.0526827	.03287754	.04311061	.01668332	.00388388
1999m9	.01965352	-.00326787	-.00641047	-.01013082	-.0185662	-.02517395	-.04511852	-.04189532	-.06173859	-.06038587
1999m10	.03173685	.01929577	.01173716	.01643628	.00209151	-.00803501	-.00475422	-.01594324	-.00618866	-.01073627
1999m11	.15678621	.13733497	.0196043	.1327412	.12941258	.08733052	.05757517	.10516653	.10135854	.07531842
1999m12	.12133504	.03621368	.0806427	.08465333	.09083678	.06755507	.09955323	.03964038	.01847205	.03833392
2000m1	.11318027	.06530306	.07308849	.07017967	.05946351	.01428898	.04145291	-.01005386	-.04631822	-.07882638
2000m2	.05341766	.00005539	.0392719	.0663433	.01396043	.03936436	.0266535	-.00135832	-.01072173	.00473194
2000m3	.01035246	-.01706726	-.05003462	-.00318446	-.02401162	-.02821515	-.02167408	.04067196	.0313997	.06164714
2000m4	-.06777391	-.01972116	-.06258062	-.03489651	-.04507554	-.04380112	-.03388227	-.04679152	.00352566	.00525602
2000m5	-.00550626	-.02134244	.00374127	-.02646922	-.02452017	-.00793981	-.01274686	-.00523667	.0171553	.02030121
2000m6	.01939983	.03726729	.04691741	.04762801	.07792592	.08387746	.07447427	.06003622	.03605492	.04956624
2000m7	.00395758	.00766496	.01643366	.04189834	.00056687	-.00038877	.0232662	.02310841	.03968998	.01424069
2000m8	.04124407	.08607659	.04705882	.08651129	.05422094	.0600403	.06284659	.03588848	.05065195	.02890495
2000m9	-.00339456	-.0034988	-.00349619	-.00283869	-.03675649	-.02207352	-.03278665	-.04987215	-.04812837	-.0549424
2000m10	-.00780973	-.00803395	-.03908827	-.0366767	-.05117187	-.0014334	-.04238054	-.02539982	-.01615869	.01152958
2000m11	.00103075	-.0184656	-.00978517	-.01838973	.01438273	-.00117679	-.04143073	-.06018044	-.06501615	-.02355998
2000m12	.02526666	.02974848	.00543219	.00094817	.05038705	.02953692	.01870402	.03959752	.02939966	.02546595
2001m1	.03758113	.06261745	.05892992	.05183312	.04002655	.04553138	.06136833	.04310705	.05203385	.02264442
2001m2	.01126972	.00857173	-.00374537	-.01063926	-.0050428	-.02426902	-.04439555	-.04358442	-.02716671	-.03165771
2001m3	-.05070589	-.03645237	-.07611208	-.06962597	-.09262137	-.05394033	-.08136056	-.10469869	-.10534532	-.08175804
2001m4	.04390914	.07520897	.06187654	.06678494	.06048004	.04844003	.03336433	.07454578	.08819534	.04521334
2001m5	.02898439	.04928906	.04884987	.03503937	.05742105	.04761431	.01147551	.00738308	.02594939	.00822233
2001m6	.02554214	.0151874	-.02421607	-.00193149	-.03202611	-.05653805	-.0514265	-.05118681	-.08686806	-.04971609
