month,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
1992m1,-.00333858,-.01281869,.00571486,.01862073,.02481735,.00764194,.01506613,.03992122,.05859278,.04072263
1992m2,-.00033146,-.00173644,-.00891079,.00108725,.01166348,-.00190263,.01821385,.00926524,.02013386,.00320836
1992m3,-.04755325,-.06472157,-.04235838,-.04086922,-.02823817,-.0429034,-.04377517,-.04374064,-.04457231,-.04102274
1992m4,.05517199,.09491964,.08138663,.08346759,.09753768,.09783544,.09855894,.09793252,.14356435,.09357402
1992m5,.11753456,.074709,.08876434,.07229671,.07754658,.06783295,.0585881,.0447996,.02488669,.0164709
1992m6,-.04059214,-.04512824,-.04890318,-.05608009,-.05073183,-.06056736,-.05873376,-.07823546,-.07037359,-.06911082
1992m7,-.07877853,-.09473138,-.07601606,-.09150111,-.09986198,-.11491576,-.10300309,-.09467113,-.10187633,-.04307847
1992m8,-.05866282,-.03945709,-.0514131,-.05649836,-.02953872,-.06117907,-.06495751,-.06252834,-.04155211,-.0291132
1992m9,-.01045072,-.02317288,-.0126255,.00145066,-.01170481,.00918279,.04400286,.07090997,.09652033,.09392522
1992m10,.01151638,-.01648682,-.00762881,-.00806971,.00516838,-.0102015,.0052446,.02431784,.06154297,.03939117
1992m11,.07683178,.0133131,.04247586,.06060515,.01642145,.04713867,.03402324,.03033785,.04848503,.04846869
1992m12,.06997005,.04841009,.07578348,.08080528,.0960616,.13397209,.09652054,.10892847,.09799169,.03376748
1993m1,.11528359,.10174284,.04878535,.09822137,.07543802,.10265264,.11242017,.06200646,.04238322,-.01575797
1993m2,.0674269,.0670387,.05401058,.07493836,.02821547,.03570573,.02440007,.02605546,.02454909,.02036745
1993m3,.07300374,.00440889,.04296692,.05728258,.03762026,.03161607,.03285643,.03035013,.0306478,.01585244
1993m4,.06768856,.06974871,.06869715,.05155678,.0280744,.05231741,.0287834,.03236282,.02228966,-.01896691
1993m5,.10850785,.04797824,.06384049,.04880881,.05395509,.05522384,.03012631,.00896162,.01245775,.00599242
1993m6,.03894509,.05898848,.02020086,.04291289,.02350027,.01314762,.01827689,.02414876,.02638947,.01591697
1993m7,.03810463,.02285747,.02057839,-.00831817,.00841253,.01799724,-.00070601,.00631074,.0204874,.01824833
1993m8,.10124404,.06718764,.06532389,.07835073,.09709228,.10793145,.0825395,.06415367,.06905506,.06698196
1993m9,.02354262,.01016106,.02334112,.02545815,.01621186,.00481732,-.00521725,-.01230138,-.02358256,-.02369727
1993m10,.04517445,.01904442,.02479568,.0201206,.02782,.03608834,.01176837,.01461693,.02179137,.04294831
1993m11,.04545809,-.00927992,.00327517,-.01481048,-.00569219,-.02777046,-.03071626,-.03575072,-.00689666,.00398352
1993m12,.02970098,.03695067,.06772342,.06517462,.0555925,.04568035,.06604348,.05594377,.09183371,.07254361
1994m1,.01591834,.14868934,.14195103,.12031636,.1232856,.10185043,.0930451,.12366338,.08769627,.02679812
1994m2,.0012253,.01363606,.00160229,.01650518,.00234055,.01707935,.01231536,-.00826141,-.02552223,-.03953933
1994m3,-.0173162,-.03414021,-.03160781,-.05479271,-.05093838,-.06811706,-.05907858,-.06738265,-.04681504,-.05512184
1994m4,.0627841,.02923945,.02483717,.01525686,.02077059,.02053787,.01723205,.01842898,.0016899,.01881244
1994m5,.01802086,.00799242,-.00153789,-.02893797,.00840464,-.03090201,-.02801258,-.03899875,-.05362421,-.05177894
1994m6,-.04654127,-.04877081,-.02663988,-.03842249,-.03522076,-.0416643,-.04868983,-.05089419,-.03599098,-.01240097
1994m7,.04313199,.01950871,.01538764,.00195122,.00805985,.02578019,.03441911,.03986417,.07044544,.06110059
1994m8,.0516413,.06186795,.0340375,.039029,.03917009,.03554816,.04008526,.02776724,.04173014,.06548443
1994m9,-.00554794,-.00972066,-.02448623,-.02939287,-.01014377,-.02984059,-.03004023,-.04572984,-.08320905,-.07134165
1994m10,-.03733316,-.01517413,-.02763832,-.02846815,-.00721411,-.02118482,-.01090384,-.01948105,.01298484,.02084745
1994m11,-.01151873,-.0253449,-.00625455,-.01874135,-.00504303,-.01178533,-.00484968,-.00975412,.0055856,-.00229994
1994m12,.00555179,.00314606,-.00802246,-.00745052,-.00679577,-.00677479,-.00376889,-.00466845,-.0010258,.0059048
1995m1,-.02868117,-.00872099,.00290335,-.00551898,-.00871132,-.00492324,-.01407309,-.02433582,-.02483989,-.01964495
1995m2,-.04823394,-.05023456,-.02520032,-.01545014,-.00327284,-.01109934,-.00014844,-.01696815,-.0028213,.00104783
1995m3,-.00423997,.01611802,-.00670756,.00440773,-.0048666,.0085946,.00839124,.03224353,.04364974,.04150399
1995m4,.00607048,.02827769,.03094834,.00508024,.02806429,.02672052,.04012447,.03180803,.03011692,.02543072
1995m5,.03265058,.06389765,.04784079,.05576667,.05129119,.05947455,.05942506,.05627684,.03603584,.03464464
1995m6,.00195009,-.00769841,.00203359,-.00318645,-.00984849,.0071226,-.00642691,-.01118271,-.00820948,.00184191
1995m7,.03786344,.04843439,.02584834,.02051603,.03510465,.05155574,.04229512,.05484268,.07331325,.04927003
1995m8,.02793963,.03078475,.05161613,.03455423,.07271865,.03566008,.04100302,.02693655,.01879193,.01392993
1995m9,.0112097,.0178691,.00723193,.00582665,.02186661,.0121694,.00958497,.02097342,.00787472,.00405474
1995m10,-.01703888,.00222834,-.00771776,-.00962033,-.00951227,.01520073,-.00694297,-.01764918,-.00838695,-.00599252
1995m11,.00218189,.04296812,.02034034,.01219836,.03755582,.02258398,.00086836,.00057305,.01230689,.02651653
1995m12,.01323722,.0056273,.01195756,.00441048,.0169901,.00493675,.01588167,.00229539,.02157509,.01807516
1996m1,.00002335,.01363347,.01894065,.01943227,.02517394,.03017973,.03410044,.04397177,.02666586,.0165633
1996m2,-.00100483,.03066876,.02917798,.00776328,.02368962,.02340356,.02800232,.02871089,.01757031,-.00118426
1996m3,.05482542,.0292203,.00427246,.04238441,.02861998,.0365399,.02353837,.02705506,.03124055,.01180437
1996m4,.06347316,.09710054,.06964391,.06992675,.06541256,.08119979,.0750203,.07726386,.06369898,.03930032
1996m5,.06612303,.04839524,.03399306,.02924442,.02807916,.02193111,.01651814,-.01718757,-.01714755,-.02021199
1996m6,-.02343152,-.00775005,-.0194419,-.0169224,-.02560764,-.0091119,-.01061722,-.01012875,-.02018393,-.01013404
1996m7,-.02084255,-.00864673,.00218048,-.03008615,-.04422319,-.03095318,-.04956756,-.04226888,-.02597608,-.00663303
1996m8,.02799071,.02929534,.02486987,.0274356,.02610107,.03821508,.03704841,.0444676,.03958361,.04501208
1996m9,-.00031399,.03582987,.00526121,.01232704,.02364197,.01225786,.00956667,-.00582259,.01294398,.01542567
1996m10,.02279913,-.01539493,.0074593,-.01465042,-.014277,-.00199781,.00801393,.021498,.01399088,-.00185139
1996m11,-.00084242,-.00199296,-.01953071,-.01764421,-.0044367,.01535075,.00664831,-.0098779,.00311016,.02213968
1996m12,.01563555,.02574879,-.00418414,-.00244218,.01792423,-.00053785,.00689232,.02123524,.01072661,.01684187
1997m1,.04326363,.05065548,.06217109,.06186469,.08233851,.05411716,.06736582,.04874283,.03724507,.01551641
1997m2,.05534705,.03770262,.03681474,.04015779,.00945481,.02797493,.01479011,.02075062,.00597889,.00762046
1997m3,-.02139372,-.02019435,-.01182743,-.02925742,-.02513969,-.02285432,-.00764523,-.0037153,-.00116602,.01404789
1997m4,.05951446,.02921283,.00802304,-.00257832,.00062509,.00013837,-.00201618,.00532788,-.01039544,.01431176
1997m5,-.00638718,-.00591234,-.02470422,-.00790775,-.00751099,-.00687325,-.00401524,-.0093182,-.00155796,.03130571
1997m6,-.01290285,-.00140913,-.0183602,-.02451729,-.03095002,-.03713289,-.03692607,-.02174223,-.00812866,.00694205
1997m7,-.01540608,-.00908019,-.01159669,-.00590622,-.00649837,-.01917474,-.02180801,-.01356351,.00473268,.05205474
1997m8,.03994478,.01080566,.02464009,.01660124,.02109301,.05066348,.03827388,.05644333,.03219929,5.769e-06
1997m9,.0300541,.02743322,.02730582,.0263481,.05148253,.03437793,.04349159,.03381103,.05271484,.06949483
1997m10,.03628862,-.02127383,.00326647,.00962579,.02157807,.01965415,.01862467,-.00952041,-.04471475,-.04997677
1997m11,-.02481041,-.01121901,.00792811,-.02706872,-.01618512,-.01755343,-.01371025,-.01792827,-.00643711,.00786068
1997m12,.01658454,.00828895,.01419893,.00664813,.02554447,.02745358,.01515451,.01669207,.01658372,.04239438
1998m1,.00367178,.02888798,.02372756,.02593837,.02231979,.03341803,.01347122,.02172138,-.00611319,.05286509
1998m2,.06818769,.04069342,.06080787,.05824991,.03878743,.05285612,.04456724,.03612446,.0699725,.05181305
