month,S1,S2,S3,S4,S5
2001m1,.05101985,.05389978,.04088903,.00541336,.01049977
2001m2,-.01706853,-.00618329,-.02593417,.0110068,-.06082802
2001m3,-.05406462,-.06357188,-.08791693,-.06945456,-.04386965
2001m4,.05189193,.05364791,.06231217,.04287767,.05826422
2001m5,.03911344,.02520827,.01912334,.04571346,-.02529358
2001m6,-.02040709,-.01778627,-.04845354,-.02588539,-.04013414
2001m7,-.03956766,-.03209864,-.0596019,-.03888657,-.0216059
2001m8,.01765248,.02463027,.01335156,.00852586,-.03873038
2001m9,-.14936538,-.18891116,-.15727258,-.13822439,-.06546196
2001m10,.0678045,.09692393,.09091559,.05979662,.01788941
2001m11,.13640532,.08973175,.09596465,.11292753,.03361234
2001m12,.021277,-.02191309,.02164443,.0333357,-.00061455
2002m1,-.01993114,.01410665,-.05128298,-.00896287,-.01602446
2002m2,-.01652576,-.02077646,-.00402434,-.00924616,.01595303
2002m3,.0455263,.0644451,.02767453,.08091216,.02430125
2002m4,.0076378,.01689727,.02095811,-.02158586,-.03963202
2002m5,.00860876,.00179655,-.01609994,-.01149599,-.02026886
2002m6,-.09047397,-.06837028,-.08693316,-.09868834,-.07253006
2002m7,-.0901498,-.11632534,-.13686609,-.13153316,-.0920543
2002m8,-.00239549,-.01415558,.0161273,.02263778,.00566852
2002m9,-.09460685,-.10610645,-.07580168,-.1079142,-.09232148
2002m10,-.00172651,.01283951,-.0076343,.03684285,.05111638
2002m11,.08451224,.05100547,.04356947,.03383379,.02717239
2002m12,-.02568189,-.02575109,-.06015175,-.0608908,-.02870753
2003m1,-.04939786,-.06555999,-.0481399,-.07580043,-.08199288
2003m2,-.00087266,-.0129165,.00290921,.00913399,.02086358
2003m3,-.01876217,-.02788505,.00888224,-.00508241,.00243213
2003m4,.11123759,.09634651,.09601429,.11373713,.0754047
2003m5,.12104945,.12401602,.0912094,.095788,.03709924
2003m6,.05151733,.03825316,.04438896,.02346527,-.00946716
2003m7,.09737665,.07651786,.0595447,.07450655,.02503056
2003m8,.08398962,.06135951,.03936103,.05349375,.0170388
2003m9,-.00852374,-.00925583,-.00275277,-.01840207,-.00649596
2003m10,.05730349,.03472348,.04108145,.04472418,.04472639
2003m11,-.00649478,.00975266,-.00353568,.00329945,.0184477
2003m12,.03601593,.00453204,.0190662,.02830727,.03698064
2004m1,.07584616,.06951343,.04386551,.02275672,-.01968274
2004m2,.03225183,.02845603,.04071055,.04049309,.03033352
2004m3,-.02500885,-.01169197,.00395827,.00957441,-.01047126
2004m4,.0092015,-.01061181,.00878794,-.00855417,.02990856
2004m5,-.03800033,-.02533586,-.03425862,-.01710973,-.00929434
2004m6,.04001054,.04779654,.04953525,.03170647,.01232032
2004m7,-.02835582,-.01976116,-.03599617,-.04002809,-.00804578
2004m8,.00349951,-.0012905,.00380231,.02398073,.00874072
2004m9,.03381831,.03442294,.02527449,.03620221,.02815039
2004m10,.02864997,.01957809,.00456824,.00447806,.01264502
2004m11,.03377149,.03767231,.04227551,.04301432,.02295963
2004m12,.03209562,.04764252,.05403125,.05783972,.01450837
2005m1,.04374217,.04133678,.03873242,.03016293,.00746219
2005m2,.03422668,.00725769,.01419157,.02254299,.03721302
2005m3,-.00588549,-.01400253,-.00702768,-.01873446,-.00794528
2005m4,-.02986284,-.03761729,-.0644219,-.06450446,-.00852862
2005m5,.00395037,.03141111,.05875584,.06012453,.04191399
2005m6,.03460264,.0525128,.03534081,.03591814,.02660189
2005m7,.03568153,.0268409,.04920971,.01799571,.04468475
2005m8,.03001578,.0299005,.01971404,.01697521,.01321705
2005m9,.00582759,.0148223,.03502318,.03390756,.04313455
2005m10,-.04017997,-.03512393,-.03001109,-.03087738,-.02453208
2005m11,.05258007,.07868215,.08589454,.07211002,.01515264
2005m12,.03789594,.0386711,.05425007,.05480487,.03971693
2006m1,.05774366,.0456095,.04748795,.03531621,.02398959
2006m2,.02134045,.03202072,.03739518,.03245269,.00187076
2006m3,.0143045,.03507141,.04378211,.05194779,.04563164
2006m4,.01093489,-.00611831,.00848116,.01212,.01867244
2006m5,-.04209184,-.03051458,-.05003091,-.05486479,-.04294489
2006m6,-.00653493,.01227035,.01325602,.01524114,.02020955
2006m7,.00574887,-.00137884,-.01048819,.00053678,.0183195
2006m8,.02694378,.02415737,.01940616,.02934927,.00156396
2006m9,.03804012,.04486757,.04563877,.03278547,.00833863
2006m10,.02590817,.03026154,.04578933,.03483463,.03164289
2006m11,-.00293171,.03245094,.04045174,.02453148,-.0023841
2006m12,.08338043,.06141636,.05929971,.04160329,.02600039
2007m1,.01832172,.01163188,-.0139543,-.0105852,-.00254227
2007m2,.01002739,.00091078,.00094305,-.00127092,.005401
2007m3,.01253891,.03203951,.05644214,.05826022,.0374655
2007m4,.03856262,.01443128,.01298759,.01882515,.02189736
2007m5,.01199307,.02467609,.01727349,.02250812,.03707336
2007m6,-.03293061,-.04356047,-.05926088,-.04123357,.0104708
2007m7,-.0219397,-.03093755,-.00075368,-.02078555,-.04043531
2007m8,-.02405528,-.01995483,-.00581394,-.00642649,.0060319
2007m9,-.03654132,-.05600263,-.04231844,-.01688626,.0442312
2007m10,.02540986,.05123211,.07784783,.07130234,.04804504
2007m11,-.11845179,-.12070407,-.08523238,-.0755082,-.01966486
2007m12,-.01778457,-.02945826,-.01941627,-.00937406,.01166854
2008m1,-.08226074,-.08323554,-.06870631,-.07856799,-.08419266
2008m2,.05240641,.03314372,.04579843,.01846541,.01034825
2008m3,-.05029759,-.0393321,-.01266619,-.00921707,-.0367585
2008m4,.02962429,.01974691,.01879189,.01251674,.07881873
2008m5,-.000323,-.0013079,.00610194,.00081466,.01747909
2008m6,-.058154,-.08858237,-.08064237,-.05965741,-.0489825
2008m7,-.04466754,-.02708623,-.03622415,-.04104199,-.05475562
2008m8,.01776027,.05545402,.05169514,.06670389,.04459668
2008m9,-.12965227,-.14765128,-.15277446,-.16524024,-.13988278
2008m10,-.21948472,-.18976446,-.22814911,-.22844875,-.07326237
2008m11,-.09167667,-.08684038,-.06615432,-.03517814,-.01336628
2008m12,-.03877057,.02013853,.04557213,.05209521,.06026603
2009m1,-.01124722,.00436983,-.01891075,-.01635686,-.04073971
2009m2,-.01222095,-.02135498,-.02800877,-.02166421,-.05296269
2009m3,.01409722,.03687627,.04264239,.05841465,.02925034
2009m4,.25390425,.21529764,.22062757,.19639275,.05127402
2009m5,.04371472,.02184661,.05237362,.01043382,.04046391
2009m6,.02508312,.00797127,-.03739361,-.01105669,-.02575182
2009m7,.04877719,.07790266,.09122511,.08658549,.07264139
2009m8,.12251375,.15337659,.10616568,.094371,.0531738
2009m9,.07757425,.05737695,.02825928,.04912847,.04956396
2009m10,.00559326,-.02404628,-.0134394,-.02307521,-.00112938
2009m11,-.01217249,-.04780422,-.0234288,.01388862,.04624143
2009m12,-.00909023,.03426666,.03162894,.04903508,.05430169
2010m1,.02685834,.01900129,.00184904,-.01154934,-.04056034
2010m2,-.00364323,-.02051169,.0020013,.01578684,.03038597
2010m3,.03665496,.02890051,.07264047,.11068178,.07606827
2010m4,.04361841,.04444823,.03292855,.02409866,-.03060964
2010m5,-.05028948,-.07256549,-.08250985,-.06058942,-.06001983
2010m6,.00762483,-.00098362,-.02419905,-.01487388,-.05506095
2010m7,.03826767,.03541356,.05956448,.08053865,.06170274
2010m8,.00905801,.00504243,-.01433857,.00035826,.00205862
2010m9,.08239449,.0729532,.08584466,.08051702,.07312301
2010m10,.03824032,.03314603,.0472721,.0335507,.02999968
